test_id,operator,technology,circle,download_speed,upload_speed,signal_strength,latency_ms,test_date,latitude,longitude
TEST_000144,vi,4G,Pune,18.47,5.72,-70.99,37.26,2026-04-28,10.465674,75.067168
TEST_000145,airtel,4G,Delhi,23.68,5.75,-77.94,37.68,2026-05-24,32.34229,80.935338
TEST_000146,jio,5G,Mumbai,95.06,21.84,-81.52,41.67,2026-05-19,29.180408,85.511445
TEST_000147,jio,5G,Mumbai,137.92,22.97,-73.63,60.44,2026-05-10,11.66837,76.064816
TEST_000148,jio,4G,Ahmedabad,9.71,5.58,-107.45,55.65,2026-05-20,25.048407,74.700329
TEST_000149,airtel,4G,Bangalore,19.68,3.68,-84.81,69.48,2026-05-10,19.423739,74.291618
TEST_000150,airtel,4G,Delhi,27.47,2.36,-82.17,36.86,2026-05-22,31.300009,81.954514
TEST_000151,vi,5G,Kolkata,73.88,18.89,-78.17,41.12,2026-04-23,31.37227,95.44685
TEST_000152,airtel,4G,Chennai,24.23,6.13,-77.41,68.65,2026-04-19,13.33709,84.782573
TEST_000153,jio,5G,Bangalore,142.9,21.34,-80.15,40.6,2026-04-23,17.516507,90.056087
TEST_000154,jio,5G,Kolkata,106.17,18.58,-84.14,56.56,2026-04-08,31.449326,84.237855
TEST_000155,jio,5G,Ahmedabad,72.82,22.39,-75.05,60.83,2026-05-08,21.561559,77.308319
TEST_000156,airtel,5G,Jaipur,68.93,15.54,-90.33,38.91,2026-04-11,32.348847,95.46169
TEST_000157,vi,5G,Chennai,66.79,23.2,-73.32,50.37,2026-03-30,31.968363,79.501703
TEST_000158,vi,5G,Hyderabad,67.44,28.13,-94.29,38.01,2026-05-30,33.576045,78.674472
TEST_000159,airtel,4G,Bangalore,13.79,7.36,-74.97,42.68,2026-03-17,22.064152,84.525052
TEST_000160,airtel,4G,Delhi,26.32,6.88,-81.64,45.57,2026-05-07,33.492367,68.429733
TEST_000161,airtel,4G,Bangalore,14.57,6.57,-84.44,65.85,2026-03-10,21.145737,95.137702
TEST_000162,vi,5G,Hyderabad,61.97,21.92,-79.23,53.43,2026-05-23,10.248829,77.199836
TEST_000163,airtel,5G,Jaipur,80.04,23.65,-98.68,49.0,2026-05-20,28.124088,89.263251
TEST_000164,jio,4G,Jaipur,36.95,6.77,-96.88,97.84,2026-03-31,25.672508,93.786015
TEST_000165,vi,4G,Chennai,17.32,10.57,-78.71,42.64,2026-04-25,35.393456,89.290351
TEST_000166,airtel,4G,Delhi,20.96,6.1,-97.15,46.56,2026-05-28,16.38505,68.810523
TEST_000167,jio,5G,Hyderabad,42.8,23.28,-77.46,41.39,2026-04-15,18.495551,72.075954
TEST_000168,airtel,4G,Jaipur,19.78,10.5,-88.12,37.28,2026-03-22,12.901942,85.06577
TEST_000169,vi,4G,Pune,9.88,5.99,-100.83,43.14,2026-05-03,33.559212,72.007296
TEST_000170,vi,5G,Ahmedabad,55.84,21.76,-62.81,35.2,2026-04-28,15.149148,68.263128
TEST_000171,airtel,4G,Ahmedabad,29.44,4.86,-78.8,83.69,2026-03-10,20.368434,77.675837
TEST_000172,airtel,5G,Lucknow,68.95,14.7,-60.0,36.04,2026-05-28,15.00275,91.66851
TEST_000173,airtel,5G,Chennai,76.33,16.84,-76.91,69.25,2026-03-14,14.64176,84.013835
TEST_000174,airtel,5G,Lucknow,62.09,18.39,-85.39,47.48,2026-03-03,35.382446,86.430435
TEST_000175,jio,4G,Kolkata,20.92,11.33,-116.91,43.72,2026-05-17,28.86482,91.319489
TEST_000176,jio,5G,Kolkata,116.78,9.45,-89.11,64.68,2026-03-29,25.825301,85.384953
TEST_000177,vi,4G,Bangalore,15.99,5.73,-78.67,39.74,2026-05-20,26.097537,76.650121
TEST_000178,jio,5G,Ahmedabad,56.68,38.14,-73.77,35.41,2026-03-17,10.523735,76.263093
TEST_000179,jio,4G,Pune,34.54,6.31,-93.74,51.72,2026-03-17,30.022359,92.540897
TEST_000180,vi,5G,Hyderabad,50.56,20.64,-99.67,36.57,2026-03-22,15.195162,91.091315
TEST_000181,airtel,5G,Ahmedabad,91.04,27.37,-96.28,64.04,2026-03-15,21.113279,70.108382
TEST_000182,vi,5G,Chennai,53.5,24.26,-97.97,40.2,2026-05-11,18.241701,90.139095
TEST_000183,airtel,4G,Mumbai,26.07,3.49,-63.82,68.48,2026-04-28,18.320398,88.972325
TEST_000184,vi,5G,Kolkata,50.59,23.66,-93.45,48.38,2026-05-21,34.328173,71.033691
TEST_000185,airtel,4G,Chennai,12.7,8.59,-101.96,42.9,2026-05-19,32.758576,83.719407
TEST_000186,jio,4G,Lucknow,9.39,12.07,-82.47,56.63,2026-05-21,31.06795,93.462854
TEST_000187,vi,5G,Kolkata,58.26,23.25,-85.37,59.13,2026-03-15,11.913756,94.495323
TEST_000188,airtel,4G,Kolkata,19.6,6.88,-81.31,50.06,2026-03-13,14.574401,83.051305
TEST_000189,airtel,5G,Pune,36.52,17.89,-90.02,62.02,2026-05-25,34.582662,87.501552
TEST_000190,airtel,4G,Jaipur,22.12,7.73,-91.48,35.28,2026-04-23,26.337813,91.343406
TEST_000191,airtel,5G,Lucknow,57.49,11.24,-78.38,47.12,2026-03-05,27.327859,74.083551
TEST_000192,jio,5G,Ahmedabad,111.24,28.54,-81.93,48.76,2026-03-13,35.465976,78.285379
TEST_000193,jio,5G,Hyderabad,110.06,17.47,-78.88,71.87,2026-04-05,13.31464,71.420472
TEST_000194,jio,4G,Ahmedabad,11.19,4.93,-92.5,37.73,2026-05-22,25.905802,95.190613
TEST_000195,airtel,4G,Mumbai,22.17,6.27,-82.62,48.86,2026-03-17,30.035387,73.745756
TEST_000196,jio,4G,Jaipur,20.41,4.62,-96.08,54.04,2026-03-30,17.199667,72.131517
TEST_000197,jio,5G,Lucknow,50.53,29.3,-106.04,44.7,2026-03-19,35.650765,83.126033
TEST_000198,jio,4G,Bangalore,28.7,8.44,-95.3,35.48,2026-03-17,8.416089,90.119571
TEST_000199,vi,5G,Chennai,72.61,21.28,-103.23,35.79,2026-03-03,12.878894,69.467173
TEST_000200,vi,4G,Pune,31.82,5.83,-71.21,36.69,2026-03-09,21.334887,89.784477
TEST_000201,vi,4G,Jaipur,14.2,6.32,-89.02,45.26,2026-04-27,22.107483,94.471638
TEST_000202,vi,5G,Mumbai,48.71,27.79,-76.51,59.1,2026-04-28,26.013539,68.872218
TEST_000203,airtel,5G,Ahmedabad,62.34,14.82,-73.85,48.38,2026-05-27,11.022931,87.947237
TEST_000204,jio,4G,Ahmedabad,19.55,7.41,-85.89,38.07,2026-04-11,25.032328,69.839103
TEST_000205,vi,5G,Kolkata,71.17,23.75,-83.56,54.76,2026-04-18,35.849577,82.855591
TEST_000206,vi,5G,Ahmedabad,70.08,23.84,-74.99,39.31,2026-03-13,30.206691,71.203594
TEST_000207,vi,4G,Jaipur,20.48,3.25,-85.69,100.93,2026-04-25,20.643538,74.39782
TEST_000208,airtel,5G,Hyderabad,84.67,23.37,-81.74,72.06,2026-04-23,28.42915,76.751354
TEST_000209,vi,5G,Hyderabad,37.02,20.41,-87.56,88.14,2026-04-17,34.70059,87.230989
TEST_000210,jio,4G,Ahmedabad,24.7,9.64,-84.66,40.77,2026-03-11,10.610443,70.703804
TEST_000211,jio,4G,Hyderabad,25.22,4.63,-78.99,36.93,2026-05-15,34.785489,83.727135
TEST_000212,airtel,5G,Delhi,80.0,18.84,-69.93,36.01,2026-05-25,34.351636,79.842232
TEST_000213,airtel,5G,Mumbai,54.87,24.72,-108.16,58.46,2026-04-15,10.900816,82.207551
TEST_000214,vi,5G,Bangalore,78.57,9.98,-81.8,38.98,2026-03-29,31.723696,77.803192
TEST_000215,airtel,4G,Jaipur,27.87,8.5,-84.44,59.05,2026-04-05,24.0748,90.602198
TEST_000216,vi,4G,Jaipur,15.21,8.54,-60.0,66.03,2026-05-17,34.01436,91.224902
TEST_000217,jio,4G,Kolkata,22.28,3.96,-106.1,55.07,2026-04-04,27.675566,76.651571
TEST_000218,airtel,4G,Hyderabad,19.23,6.41,-101.13,40.27,2026-03-24,32.356156,83.856991
TEST_000219,jio,4G,Pune,18.11,3.36,-99.49,52.07,2026-05-21,35.210689,70.569215
TEST_000220,jio,5G,Jaipur,110.1,23.4,-85.59,49.26,2026-04-23,20.702082,72.40746
TEST_000221,vi,5G,Kolkata,72.15,24.3,-65.55,45.78,2026-05-12,24.694266,92.733581
TEST_000222,jio,4G,Bangalore,20.22,6.73,-92.48,57.68,2026-05-26,10.284283,80.407163
TEST_000223,airtel,5G,Pune,62.5,18.73,-87.02,87.16,2026-04-23,15.648672,89.138408
TEST_000224,airtel,5G,Delhi,106.96,18.23,-94.99,60.38,2026-03-15,15.930901,86.997615
TEST_000225,vi,5G,Ahmedabad,68.49,14.19,-93.44,46.55,2026-03-06,14.174516,95.564478
TEST_000226,jio,4G,Mumbai,36.61,12.31,-92.35,67.94,2026-04-08,34.469074,89.485787
TEST_000227,airtel,5G,Kolkata,66.28,25.59,-72.0,47.01,2026-03-16,8.216437,88.916395
TEST_000228,jio,5G,Bangalore,80.49,19.01,-101.55,54.28,2026-05-08,27.702795,82.007346
TEST_000229,jio,5G,Hyderabad,66.36,18.69,-85.1,38.73,2026-03-06,20.214149,80.873119
TEST_000230,airtel,5G,Delhi,63.35,23.48,-85.2,44.83,2026-05-13,19.323841,85.923967
TEST_000231,jio,5G,Kolkata,115.3,34.04,-80.88,41.41,2026-03-03,35.053591,72.812449
TEST_000232,airtel,5G,Lucknow,90.34,34.19,-77.99,58.95,2026-03-12,20.22793,70.964168
TEST_000233,vi,5G,Pune,53.53,23.04,-79.94,65.29,2026-05-07,10.202118,92.374684
TEST_000234,jio,5G,Hyderabad,105.92,28.8,-72.2,49.46,2026-03-22,10.138623,85.730291
TEST_000235,vi,4G,Jaipur,24.31,4.83,-79.23,66.91,2026-04-14,17.830793,94.830254
TEST_000236,jio,4G,Bangalore,23.75,8.35,-70.52,37.63,2026-03-19,15.16711,72.857973
TEST_000237,vi,4G,Bangalore,13.59,6.75,-80.2,45.62,2026-03-23,34.63618,85.582566
TEST_000238,vi,5G,Ahmedabad,63.44,18.25,-101.32,50.08,2026-05-27,33.876319,83.80577
TEST_000239,airtel,5G,Lucknow,91.79,31.87,-82.44,36.7,2026-03-20,20.313359,81.12979
TEST_000240,airtel,4G,Kolkata,23.65,10.31,-86.14,50.02,2026-04-15,22.205433,76.69142
TEST_000241,jio,4G,Ahmedabad,27.09,8.42,-80.1,36.05,2026-04-17,31.287506,70.148468
TEST_000242,vi,5G,Delhi,79.33,12.46,-83.4,41.37,2026-04-29,24.249223,94.718481
TEST_000243,airtel,4G,Mumbai,17.38,5.99,-83.47,65.78,2026-04-11,24.940163,82.038284
TEST_000244,airtel,4G,Mumbai,18.31,7.79,-66.21,52.25,2026-04-13,35.506796,70.361216
TEST_000245,jio,4G,Bangalore,24.51,3.92,-89.88,122.77,2026-05-30,20.257232,80.30381
TEST_000246,vi,4G,Jaipur,10.18,2.04,-79.72,52.75,2026-04-16,18.439855,75.92102
TEST_000247,airtel,4G,Pune,18.69,9.36,-69.27,39.79,2026-05-20,26.12455,69.845532
TEST_000248,vi,5G,Delhi,71.7,17.46,-62.84,42.6,2026-04-06,15.055882,91.843855
TEST_000249,jio,5G,Lucknow,57.71,31.73,-87.48,38.92,2026-03-11,24.316706,71.959995
TEST_000250,airtel,5G,Hyderabad,46.84,31.53,-85.99,86.72,2026-03-17,24.661154,94.264062
TEST_000251,vi,5G,Kolkata,80.11,19.46,-87.76,57.48,2026-05-22,30.166535,90.769174
TEST_000252,jio,5G,Jaipur,99.53,28.36,-77.29,37.11,2026-05-05,18.131187,78.152735
TEST_000253,jio,5G,Bangalore,118.89,34.37,-79.1,44.85,2026-05-02,13.376147,95.999345
TEST_000254,jio,5G,Bangalore,67.75,38.51,-85.48,36.0,2026-03-13,22.215312,83.113581
TEST_000255,jio,5G,Jaipur,48.52,13.06,-78.22,58.96,2026-05-19,11.669373,78.548156
TEST_000256,jio,4G,Bangalore,21.65,3.47,-90.43,48.75,2026-04-26,9.223388,78.200384
TEST_000257,airtel,5G,Chennai,20.46,28.76,-98.12,64.5,2026-04-27,14.552082,74.696718
TEST_000258,jio,5G,Ahmedabad,60.34,24.64,-85.04,49.44,2026-05-26,34.519645,95.564314
TEST_000259,airtel,5G,Ahmedabad,48.94,25.46,-63.62,35.15,2026-05-04,22.768874,95.055508
