test_id,operator,technology,circle,download_speed,upload_speed,signal_strength,latency_ms,test_date,latitude,longitude,quality_score
TEST_000243,airtel,4G,Mumbai,17.38,5.99,-83.47,65.78,2026-04-11,24.940163,82.038284,48.17
TEST_000244,airtel,4G,Mumbai,18.31,7.79,-66.21,52.25,2026-04-13,35.506796,70.361216,62.39
TEST_000276,airtel,5G,Mumbai,108.22,31.11,-92.51,53.87,2026-05-22,12.902496,89.815993,81.01
TEST_000279,airtel,5G,Mumbai,10.91,14.37,-81.17,42.44,2026-05-05,19.150274,90.83137,66.63
TEST_000281,vi,5G,Mumbai,66.24,9.6,-88.27,36.15,2026-04-04,11.4853,78.304537,82.65
TEST_000305,jio,4G,Mumbai,22.56,6.91,-85.24,41.26,2026-04-08,12.610398,77.034501,66.45
TEST_000313,jio,5G,Mumbai,79.27,17.73,-78.39,46.17,2026-04-23,21.559032,73.712644,80.36
TEST_000321,airtel,5G,Mumbai,123.27,25.46,-93.82,64.79,2026-05-16,32.705505,86.319281,75.83
TEST_000352,airtel,5G,Mumbai,61.2,20.0,-89.66,45.68,2026-03-24,34.225045,94.939679,73.85
TEST_000371,airtel,4G,Mumbai,36.29,10.06,-63.41,55.68,2026-05-05,19.631888,83.789513,65.88
TEST_000382,jio,4G,Mumbai,34.67,9.62,-86.66,35.14,2026-03-09,10.825108,68.940136,77.67
TEST_000394,airtel,5G,Mumbai,71.17,19.01,-76.64,58.31,2026-05-26,24.939144,69.107332,70.93
TEST_000407,jio,5G,Mumbai,63.91,18.7,-96.07,56.37,2026-03-18,31.591252,74.480135,63.86
TEST_000410,jio,5G,Mumbai,103.79,22.89,-84.2,76.43,2026-05-08,35.369422,68.479993,69.19
TEST_000415,jio,5G,Mumbai,114.29,22.78,-83.17,53.46,2026-04-18,18.560748,81.328143,82.73
TEST_000416,vi,4G,Mumbai,13.53,6.16,-97.87,37.72,2026-03-11,21.996035,80.14947,64.28
TEST_000469,airtel,4G,Mumbai,26.43,5.14,-81.78,41.35,2026-03-25,30.826046,94.987215,67.72
TEST_000482,airtel,4G,Mumbai,18.38,7.19,-83.08,41.3,2026-05-29,32.250206,74.990963,66.29
TEST_000509,airtel,5G,Mumbai,74.34,23.68,-72.45,42.06,2026-05-20,27.953614,89.47908,87.45
TEST_000547,jio,5G,Mumbai,92.66,22.22,-60.0,66.82,2026-04-20,21.891539,78.716424,78.19
TEST_000557,jio,5G,Mumbai,113.42,25.91,-66.43,90.95,2026-04-15,34.185769,95.763174,74.28
TEST_000561,jio,4G,Mumbai,25.38,9.61,-76.88,44.19,2026-03-30,24.846558,68.557984,67.77
TEST_000582,airtel,5G,Mumbai,122.24,20.37,-89.3,42.61,2026-03-20,9.526136,68.106836,90.72
TEST_000609,jio,4G,Mumbai,37.56,2.26,-85.9,37.67,2026-04-28,9.41566,78.090502,72.27
TEST_000638,airtel,4G,Mumbai,21.13,8.73,-90.24,54.28,2026-03-03,26.948948,85.547234,53.97
TEST_000644,vi,4G,Mumbai,14.87,6.43,-79.0,75.48,2026-03-16,18.264561,86.215131,45.46
TEST_000645,airtel,5G,Mumbai,85.62,12.76,-82.52,49.39,2026-05-08,25.447774,84.629874,75.89
TEST_000646,vi,4G,Mumbai,22.69,7.6,-94.16,41.96,2026-05-23,31.41136,69.350582,62.98
TEST_000657,airtel,5G,Mumbai,61.22,22.66,-104.92,46.5,2026-05-26,16.755799,88.679125,68.99
TEST_000673,jio,5G,Mumbai,101.6,24.01,-82.88,45.63,2026-04-22,9.003294,83.374766,86.61
TEST_000694,vi,4G,Mumbai,13.1,8.73,-78.87,58.86,2026-03-26,15.475392,89.994901,53.21
TEST_000705,vi,5G,Mumbai,57.58,8.21,-77.31,50.93,2026-05-02,30.117429,83.404485,68.55
TEST_000710,jio,5G,Mumbai,94.38,9.25,-77.49,48.49,2026-04-27,14.729741,85.983402,78.96
TEST_000721,vi,4G,Mumbai,13.91,6.6,-75.41,38.56,2026-05-14,9.274472,91.751035,70.91
TEST_000740,vi,4G,Mumbai,23.14,5.34,-105.45,44.08,2026-05-14,24.209222,89.537607,56.31
TEST_000749,vi,5G,Mumbai,72.26,16.05,-78.53,39.58,2026-03-14,27.704615,82.598441,85.03
TEST_000764,jio,5G,Mumbai,80.04,24.52,-83.9,75.59,2026-03-20,24.954309,72.967821,64.87
TEST_000771,vi,4G,Mumbai,1.85,9.74,-89.47,55.87,2026-05-06,8.201433,86.327291,49.29
TEST_000785,jio,4G,Mumbai,39.16,4.6,-77.16,47.93,2026-04-05,29.830841,77.887575,65.55
TEST_000801,airtel,5G,Mumbai,75.41,24.33,-88.07,75.84,2026-05-19,16.831673,93.147394,62.3
TEST_000806,jio,4G,Mumbai,23.61,8.74,-85.68,45.83,2026-04-18,24.26823,77.112214,62.58
TEST_000833,jio,4G,Mumbai,34.98,7.1,-87.48,108.56,2026-04-14,16.029343,82.982769,39.46
TEST_000848,jio,5G,Mumbai,89.71,32.03,-84.85,36.08,2026-03-13,22.591895,95.499244,97.26
TEST_000852,jio,5G,Mumbai,101.29,32.94,-80.59,40.26,2026-05-14,11.350189,90.096026,96.13
TEST_000853,jio,5G,Mumbai,88.78,29.89,-98.65,50.07,2026-05-28,24.693944,78.399163,76.9
TEST_000855,jio,5G,Mumbai,114.91,10.22,-76.5,37.17,2026-05-22,12.309716,83.017893,96.2
TEST_000867,jio,4G,Mumbai,25.0,6.9,-105.86,49.4,2026-03-05,13.658213,81.590368,52.47
TEST_000870,jio,5G,Mumbai,90.0,18.22,-103.59,50.23,2026-03-11,21.105656,85.889668,71.17
TEST_000881,airtel,4G,Mumbai,10.86,6.55,-73.48,42.35,2026-05-06,11.7824,92.929088,66.44
TEST_000882,airtel,4G,Mumbai,17.32,11.1,-91.31,60.21,2026-03-28,31.960172,68.607638,50.12
TEST_000906,airtel,4G,Mumbai,21.16,5.82,-120.0,42.24,2026-03-08,15.952379,90.097278,53.08
TEST_000912,jio,4G,Mumbai,32.33,2.95,-71.16,42.93,2026-05-07,16.537971,81.71812,70.08
TEST_000915,vi,5G,Mumbai,71.97,10.47,-91.79,36.53,2026-03-29,12.247829,93.120909,82.53
TEST_000929,airtel,5G,Mumbai,82.05,20.27,-60.0,37.14,2026-03-29,28.786267,95.670816,98.07
TEST_000934,jio,5G,Mumbai,109.44,25.39,-82.25,68.2,2026-03-06,23.615627,82.451547,75.08
TEST_000935,jio,5G,Mumbai,112.4,34.4,-80.3,43.42,2026-04-26,19.145117,76.527516,95.78
TEST_000953,jio,5G,Mumbai,91.8,13.69,-98.88,35.97,2026-04-11,18.319944,78.610302,86.56
TEST_000956,jio,4G,Mumbai,28.06,9.32,-79.66,78.51,2026-05-01,28.274076,84.933785,48.23
TEST_000967,vi,5G,Mumbai,75.11,20.55,-73.75,52.91,2026-05-12,28.298996,76.83408,76.7
TEST_000986,jio,5G,Mumbai,93.21,24.92,-94.76,46.6,2026-03-07,10.411348,78.973669,80.24
TEST_001003,jio,4G,Mumbai,27.02,11.16,-91.79,41.29,2026-04-27,22.875163,78.919514,66.76
TEST_001008,vi,5G,Mumbai,77.62,10.59,-65.69,41.75,2026-03-15,32.11494,92.23903,86.02
TEST_001016,vi,5G,Mumbai,62.52,23.38,-101.68,37.73,2026-03-31,27.93964,75.539013,80.16
TEST_001022,airtel,5G,Mumbai,78.22,27.61,-76.69,41.27,2026-05-05,33.369542,84.071028,89.2
TEST_001028,vi,4G,Mumbai,23.45,4.48,-102.99,86.29,2026-05-17,12.889188,84.569564,35.43
TEST_001037,jio,5G,Mumbai,52.38,27.36,-62.94,50.13,2026-04-25,25.093596,86.257846,79.73
TEST_001054,vi,5G,Mumbai,58.58,14.87,-90.77,43.22,2026-04-04,12.245009,77.235264,73.42
TEST_001064,airtel,4G,Mumbai,25.04,7.41,-97.24,48.07,2026-03-28,30.598904,86.68486,56.61
TEST_001072,vi,4G,Mumbai,25.08,5.6,-74.68,42.36,2026-04-12,9.770213,75.669014,68.85
TEST_001086,airtel,4G,Mumbai,29.06,9.67,-86.33,92.97,2026-03-10,33.062217,88.199286,42.49
TEST_001090,airtel,4G,Mumbai,18.6,7.51,-85.72,36.07,2026-03-28,33.980839,80.739744,72.25
TEST_001107,vi,5G,Mumbai,70.05,16.17,-104.71,52.71,2026-03-07,11.107063,78.236544,63.81
TEST_001112,jio,5G,Mumbai,45.14,16.15,-67.78,44.93,2026-04-14,20.667498,82.040603,76.87
TEST_001118,airtel,4G,Mumbai,21.39,5.14,-73.03,39.2,2026-03-09,8.617025,90.455695,72.04
TEST_001122,jio,5G,Mumbai,81.63,21.07,-101.3,45.13,2026-04-06,20.765943,72.658166,75.42
TEST_001126,vi,5G,Mumbai,45.98,19.1,-90.49,48.6,2026-04-14,12.142438,80.556015,67.33
TEST_001146,jio,4G,Mumbai,27.07,10.87,-92.16,46.28,2026-04-03,16.404743,85.935546,61.56
TEST_001187,jio,5G,Mumbai,94.67,27.2,-93.91,70.63,2026-05-17,27.017722,72.276626,67.58
TEST_001191,airtel,4G,Mumbai,24.27,4.6,-78.5,36.54,2026-04-19,20.603235,91.88048,74.19
TEST_001196,airtel,5G,Mumbai,91.71,17.79,-82.4,71.15,2026-05-03,24.549263,78.578336,67.14
TEST_001203,vi,5G,Mumbai,90.94,16.68,-79.79,60.7,2026-05-15,8.622621,76.862401,72.13
TEST_001221,jio,4G,Mumbai,28.19,9.44,-89.74,51.6,2026-04-04,11.820058,75.235112,57.81
TEST_001276,vi,5G,Mumbai,84.32,14.47,-94.68,35.27,2026-04-11,34.527715,95.994991,87.62
TEST_001278,vi,4G,Mumbai,24.3,6.96,-111.14,36.72,2026-05-10,34.653205,78.678946,63.91
TEST_001290,vi,4G,Mumbai,21.42,5.15,-94.26,72.89,2026-05-05,19.897579,70.645562,42.29
TEST_001292,jio,5G,Mumbai,64.04,15.86,-91.83,45.29,2026-03-23,30.012959,91.601475,72.62
TEST_001293,jio,5G,Mumbai,81.84,23.09,-96.6,41.48,2026-05-30,16.33413,84.441835,81.49
TEST_001300,vi,4G,Mumbai,26.98,6.55,-77.95,37.74,2026-03-04,13.858425,86.16145,74.03
TEST_001317,airtel,5G,Mumbai,128.82,17.59,-87.7,38.22,2026-04-15,26.95398,72.892014,96.84
TEST_001327,jio,5G,Mumbai,66.25,6.46,-105.11,48.09,2026-04-13,16.029232,72.79533,62.81
TEST_001364,vi,5G,Mumbai,64.91,6.8,-86.1,56.47,2026-05-11,26.064471,86.029597,63.03
TEST_001367,airtel,4G,Mumbai,13.59,9.87,-96.99,47.32,2026-04-01,31.231335,91.489688,55.67
TEST_001369,airtel,4G,Mumbai,22.1,7.97,-82.28,39.73,2026-04-13,20.236488,79.61822,69.49
TEST_001378,airtel,4G,Mumbai,23.92,5.94,-91.17,45.45,2026-04-01,29.363392,86.243425,60.15
TEST_001390,vi,5G,Mumbai,81.44,13.58,-71.89,39.24,2026-03-01,33.24046,86.835779,88.81
TEST_001394,jio,5G,Mumbai,47.5,15.53,-94.31,58.42,2026-04-17,34.21494,80.448174,58.44
TEST_001402,vi,5G,Mumbai,46.34,12.71,-88.27,48.6,2026-05-27,23.683247,80.709931,65.83
TEST_001418,airtel,5G,Mumbai,70.72,12.12,-68.64,55.18,2026-05-15,13.389477,70.87531,72.87
TEST_001425,jio,4G,Mumbai,13.66,7.15,-100.6,43.94,2026-04-24,17.626851,95.342302,56.61
TEST_001429,airtel,4G,Mumbai,24.06,7.64,-100.05,82.54,2026-03-01,25.885477,87.410176,38.72
TEST_001432,airtel,4G,Mumbai,16.96,8.84,-93.51,40.82,2026-03-10,18.020827,83.531365,63.64
TEST_001462,airtel,4G,Mumbai,16.35,5.72,-71.58,39.14,2026-05-13,32.465006,76.556014,71.68
TEST_001463,airtel,5G,Mumbai,75.29,20.55,-92.74,55.65,2026-04-13,14.313738,79.920142,68.62
TEST_001465,jio,4G,Mumbai,43.76,7.93,-83.58,37.48,2026-04-12,23.909345,90.376082,76.74
TEST_001481,jio,4G,Mumbai,22.92,4.54,-76.76,36.04,2026-04-05,32.711563,83.056651,75.16
TEST_001485,jio,5G,Mumbai,87.38,19.18,-85.39,39.89,2026-04-18,17.622416,79.181571,86.87
TEST_001496,airtel,4G,Mumbai,28.67,6.91,-68.46,36.53,2026-05-27,26.730585,74.1759,79.37
TEST_001500,airtel,5G,Mumbai,36.07,30.8,-60.0,47.31,2026-03-02,18.897226,80.845726,80.61
TEST_001509,jio,5G,Mumbai,100.63,20.57,-85.9,46.77,2026-05-03,16.305212,72.246776,83.12
TEST_001512,vi,5G,Mumbai,61.57,12.4,-74.72,37.67,2026-05-22,30.755895,89.015426,85.03
TEST_001522,airtel,5G,Mumbai,66.36,23.34,-85.21,37.63,2026-03-11,29.248033,93.80291,86.62
TEST_001526,jio,5G,Mumbai,85.75,28.87,-96.78,36.03,2026-05-02,19.327547,79.642965,91.33
TEST_001540,jio,4G,Mumbai,26.64,5.98,-114.22,48.33,2026-05-29,19.699509,79.671585,50.57
TEST_001547,jio,5G,Mumbai,121.83,29.97,-98.27,87.94,2026-03-01,26.629024,90.097801,67.75
TEST_001548,jio,4G,Mumbai,27.69,5.13,-102.92,39.4,2026-05-06,30.170023,78.518642,63.23
TEST_001552,airtel,5G,Mumbai,24.97,18.58,-88.61,51.35,2026-03-18,8.719052,71.441047,60.97
TEST_001574,vi,5G,Mumbai,82.4,30.05,-100.85,36.33,2026-04-09,22.066584,87.2808,89.22
TEST_001586,jio,5G,Mumbai,135.78,27.95,-65.92,46.07,2026-05-15,20.147,72.159913,100.91
TEST_001590,jio,4G,Mumbai,16.64,6.49,-96.3,69.83,2026-03-11,11.417444,85.959461,42.2
TEST_001597,vi,5G,Mumbai,32.88,17.76,-89.98,41.07,2026-04-10,11.445268,71.606848,71.32
TEST_001599,jio,4G,Mumbai,18.32,6.52,-97.28,48.44,2026-05-04,16.360182,95.055733,54.47
TEST_001627,vi,5G,Mumbai,39.35,18.15,-84.74,45.95,2026-05-29,22.961095,77.661698,69.7
TEST_001635,vi,5G,Mumbai,32.41,16.04,-64.47,64.15,2026-04-12,16.353818,71.000594,62.25
TEST_001655,airtel,5G,Mumbai,83.11,33.66,-97.77,53.68,2026-05-07,16.580487,85.732679,74.71
TEST_001657,airtel,4G,Mumbai,26.24,4.43,-95.08,36.95,2026-04-04,18.180132,94.403965,68.46
TEST_001670,jio,5G,Mumbai,54.63,30.09,-96.15,36.86,2026-05-29,35.089634,76.110378,83.86
TEST_001681,airtel,4G,Mumbai,19.06,6.09,-63.31,36.59,2026-04-05,12.948587,95.204932,78.56
TEST_001690,jio,4G,Mumbai,33.39,11.06,-87.06,48.22,2026-05-22,34.170977,71.701013,63.07
TEST_001692,jio,5G,Mumbai,137.47,14.21,-91.18,59.23,2026-05-30,10.379025,71.898443,78.59
TEST_001694,vi,5G,Mumbai,75.17,22.08,-108.3,89.6,2026-05-20,23.221161,68.593821,50.73
TEST_001695,jio,5G,Mumbai,84.9,17.72,-64.27,39.94,2026-03-14,22.323188,91.421535,92.77
TEST_001717,jio,5G,Mumbai,61.78,22.87,-75.96,47.02,2026-03-19,10.211812,70.157828,78.39
TEST_001720,airtel,4G,Mumbai,22.71,5.1,-73.5,49.88,2026-03-20,9.680022,85.98872,61.72
TEST_001730,jio,5G,Mumbai,76.35,24.69,-84.76,87.32,2026-03-11,35.346568,83.814311,60.36
TEST_001732,airtel,5G,Mumbai,88.03,25.04,-66.51,35.43,2026-04-20,22.00605,76.805228,101.43
TEST_001749,vi,4G,Mumbai,11.64,6.93,-66.39,42.37,2026-04-01,27.592868,83.702411,69.09
TEST_001761,jio,5G,Mumbai,74.96,19.97,-83.38,64.75,2026-04-13,34.974242,76.31334,66.57
TEST_001764,vi,4G,Mumbai,20.99,4.31,-71.73,36.87,2026-03-10,28.236263,84.197702,75.14
TEST_001786,vi,5G,Mumbai,45.46,16.79,-97.54,42.8,2026-03-17,34.302968,78.931528,69.37
TEST_001824,vi,4G,Mumbai,17.94,7.86,-71.86,38.73,2026-04-13,26.053719,69.944715,73.24
TEST_001831,jio,4G,Mumbai,51.47,8.55,-95.07,38.28,2026-04-08,10.101181,77.221211,73.8
TEST_001838,jio,4G,Mumbai,33.02,4.91,-98.06,45.27,2026-05-25,14.051793,90.91832,59.68
TEST_001848,vi,5G,Mumbai,42.03,8.53,-83.87,78.12,2026-04-24,13.430086,73.30459,49.78
TEST_001860,jio,5G,Mumbai,104.61,21.04,-85.06,35.15,2026-03-30,22.707537,72.684533,97.91
TEST_001865,jio,5G,Mumbai,103.67,41.83,-117.71,61.51,2026-03-29,26.462274,71.965728,71.03
TEST_001877,airtel,4G,Mumbai,25.94,3.74,-77.01,36.24,2026-04-14,32.604219,89.987372,75.17
TEST_001892,jio,4G,Mumbai,21.73,5.98,-90.73,42.59,2026-05-29,13.741805,72.036253,62.65
TEST_001920,jio,4G,Mumbai,20.29,11.09,-88.08,39.74,2026-04-16,29.682799,83.912261,68.28
TEST_001934,jio,4G,Mumbai,39.75,7.91,-70.0,52.99,2026-05-03,22.212919,86.209435,65.44
TEST_001942,jio,4G,Mumbai,16.62,11.69,-96.14,40.14,2026-03-17,20.279565,75.912687,64.51
TEST_001953,airtel,5G,Mumbai,101.52,16.22,-76.84,67.4,2026-04-26,9.243635,73.760443,72.13
TEST_001965,airtel,5G,Mumbai,112.48,26.43,-105.58,42.07,2026-05-21,31.641109,74.09959,85.89
TEST_001966,vi,4G,Mumbai,23.68,6.18,-87.72,44.3,2026-04-05,33.11724,83.44054,62.43
TEST_001969,jio,4G,Mumbai,23.14,9.23,-106.2,40.37,2026-05-23,9.07805,87.164359,61.45
TEST_001977,jio,5G,Mumbai,97.12,17.33,-97.68,40.27,2026-03-06,16.144434,72.201771,83.83
TEST_002014,airtel,4G,Mumbai,11.62,4.79,-73.07,35.73,2026-05-30,30.237527,76.890762,74.42
TEST_002032,airtel,4G,Mumbai,27.9,8.35,-97.36,35.04,2026-05-30,17.332066,77.875618,72.29
TEST_002036,jio,4G,Mumbai,29.0,6.07,-87.58,53.78,2026-05-07,10.87058,79.142247,55.98
TEST_002056,jio,4G,Mumbai,14.45,4.88,-69.23,52.02,2026-03-22,13.526293,92.352977,59.63
TEST_002063,airtel,5G,Mumbai,60.65,16.56,-85.44,47.33,2026-03-23,12.209774,69.877344,72.42
TEST_002064,airtel,4G,Mumbai,15.89,6.05,-84.11,75.61,2026-03-26,27.433265,83.056482,43.8
TEST_002081,jio,5G,Mumbai,77.16,15.52,-73.38,39.39,2026-04-16,22.728073,68.157207,87.88
TEST_002083,vi,5G,Mumbai,69.8,12.44,-66.1,39.34,2026-03-05,26.122107,85.966874,87.61
TEST_002085,vi,5G,Mumbai,74.58,20.58,-102.34,47.68,2026-05-17,25.702722,81.728414,71.05
TEST_002091,vi,5G,Mumbai,79.08,16.88,-69.14,40.9,2026-04-23,31.456067,86.749953,88.43
TEST_002094,airtel,5G,Mumbai,100.03,21.53,-83.97,56.59,2026-05-11,17.819174,77.56067,76.83
TEST_002097,jio,4G,Mumbai,25.02,7.11,-87.88,39.52,2026-03-28,25.862477,80.889775,68.22
TEST_002134,airtel,5G,Mumbai,96.45,27.21,-92.55,46.05,2026-04-03,28.77782,71.246836,83.02
TEST_002141,vi,5G,Mumbai,53.48,14.77,-78.2,39.55,2026-03-23,16.210711,79.677687,80.53
TEST_002143,vi,5G,Mumbai,80.45,25.77,-79.9,41.07,2026-04-01,12.906542,82.979586,88.18
TEST_002181,vi,5G,Mumbai,23.15,29.7,-98.33,40.95,2026-05-06,35.874967,92.140731,70.83
TEST_002190,jio,4G,Mumbai,21.93,5.47,-107.56,59.03,2026-05-06,16.076052,74.188603,44.33
TEST_002227,airtel,4G,Mumbai,13.73,6.86,-78.38,56.1,2026-04-22,17.901135,90.550381,54.45
TEST_002234,vi,5G,Mumbai,58.83,18.5,-91.6,35.21,2026-04-05,23.06108,80.267482,84.52
TEST_002243,vi,4G,Mumbai,29.93,6.26,-96.98,40.08,2026-05-05,18.457282,83.840009,65.3
TEST_002244,vi,5G,Mumbai,44.06,14.63,-98.22,45.67,2026-05-08,21.776265,84.094833,65.24
TEST_002278,airtel,5G,Mumbai,78.91,17.92,-104.43,71.16,2026-04-30,33.187372,75.192125,56.99
TEST_002285,vi,5G,Mumbai,80.48,14.0,-114.93,43.03,2026-05-20,9.344516,73.541092,70.12
TEST_002303,jio,5G,Mumbai,96.36,34.56,-60.0,37.23,2026-05-30,23.561207,76.72495,106.32
TEST_002309,vi,4G,Mumbai,14.83,6.25,-78.11,39.41,2026-05-06,16.712497,70.873142,69.03
TEST_002384,jio,5G,Mumbai,84.51,25.76,-70.99,58.26,2026-04-19,13.270692,94.997239,78.26
TEST_002385,vi,5G,Mumbai,88.59,22.51,-94.36,52.47,2026-05-05,22.671564,72.992123,73.85
TEST_002391,jio,4G,Mumbai,29.99,12.47,-81.69,39.52,2026-05-16,14.892849,86.718919,73.33
TEST_002395,vi,5G,Mumbai,84.24,14.27,-73.38,46.81,2026-03-17,26.562965,74.243289,81.32
TEST_002401,airtel,4G,Mumbai,29.6,4.83,-76.98,64.24,2026-03-11,29.35116,90.579455,53.34
TEST_002403,vi,4G,Mumbai,21.91,6.66,-71.04,42.39,2026-03-27,28.297484,69.225221,69.71
TEST_002404,jio,5G,Mumbai,137.39,36.57,-89.03,41.31,2026-04-02,33.811514,77.803282,101.47
TEST_002413,vi,5G,Mumbai,67.57,19.07,-70.45,52.57,2026-05-13,26.054124,75.909117,75.82
TEST_002428,vi,4G,Mumbai,19.47,6.62,-98.18,38.63,2026-04-19,23.887001,72.825542,64.48
TEST_002432,jio,4G,Mumbai,23.72,7.84,-105.51,36.01,2026-04-12,31.872826,76.772229,67.0
TEST_002446,airtel,5G,Mumbai,101.48,13.34,-78.56,57.19,2026-03-22,9.45631,74.68651,75.63
TEST_002456,vi,5G,Mumbai,41.98,23.58,-92.82,40.51,2026-05-19,9.970718,84.317138,75.15
TEST_002459,airtel,4G,Mumbai,5.36,11.08,-83.89,36.78,2026-03-27,9.399962,70.223535,70.19
TEST_002462,airtel,4G,Mumbai,22.86,4.77,-79.95,40.27,2026-05-04,8.176775,72.923826,68.63
TEST_002469,vi,5G,Mumbai,30.93,21.86,-94.3,40.56,2026-03-11,26.872981,93.161911,71.51
TEST_002487,airtel,5G,Mumbai,114.3,27.11,-76.49,44.75,2026-04-23,14.891076,94.448149,93.52
TEST_002491,airtel,4G,Mumbai,20.63,5.36,-83.54,37.66,2026-04-19,29.005385,85.460996,70.43
TEST_002498,vi,4G,Mumbai,7.31,9.65,-74.65,36.5,2026-05-07,30.367758,75.908775,73.58
TEST_002500,jio,5G,Mumbai,87.92,24.19,-75.08,44.46,2026-03-11,18.321686,89.722313,87.33
TEST_002514,jio,4G,Mumbai,23.78,10.87,-90.76,42.56,2026-03-30,34.599049,94.723789,64.9
TEST_002526,vi,4G,Mumbai,22.43,5.16,-94.58,43.34,2026-05-12,32.925782,91.61974,60.45
TEST_002531,airtel,4G,Mumbai,20.5,11.79,-93.81,39.77,2026-04-08,20.461697,88.40495,66.63
TEST_002538,jio,5G,Mumbai,57.41,22.46,-67.4,46.89,2026-04-25,31.252634,79.547879,80.23
TEST_002539,vi,4G,Mumbai,10.39,4.75,-99.3,49.28,2026-05-24,9.764287,89.546925,50.72
TEST_002542,vi,5G,Mumbai,42.49,17.8,-78.16,46.98,2026-05-11,34.6601,81.678773,71.56
TEST_002569,airtel,5G,Mumbai,75.15,27.11,-67.16,52.08,2026-05-10,29.760586,91.929981,81.87
TEST_002571,vi,5G,Mumbai,72.2,17.65,-79.62,87.28,2026-03-09,22.058033,80.969039,58.6
TEST_002581,airtel,5G,Mumbai,78.23,23.86,-88.56,41.59,2026-05-11,27.657337,69.874279,83.52
TEST_002588,airtel,4G,Mumbai,27.52,7.77,-90.49,48.75,2026-04-10,33.780486,92.096399,58.99
TEST_002611,jio,4G,Mumbai,24.78,7.03,-75.14,103.44,2026-04-02,33.97856,80.733296,42.17
TEST_002613,airtel,5G,Mumbai,106.29,21.75,-82.0,48.9,2026-05-16,11.026217,80.240822,84.32
TEST_002615,jio,4G,Mumbai,23.18,6.77,-91.22,50.89,2026-04-05,11.008926,82.986234,55.76
TEST_002617,jio,4G,Mumbai,16.61,5.7,-74.62,36.4,2026-04-13,35.351415,88.148015,74.37
TEST_002631,vi,4G,Mumbai,27.73,2.93,-79.7,44.69,2026-05-22,27.532266,80.662883,64.45
TEST_002632,airtel,5G,Mumbai,22.28,17.95,-87.38,48.88,2026-04-16,18.667186,81.746809,62.45
TEST_002652,jio,4G,Mumbai,36.59,9.45,-68.67,54.21,2026-05-16,35.852009,91.574488,64.92
TEST_002663,jio,4G,Mumbai,14.2,9.92,-70.7,48.11,2026-05-20,22.590549,68.675916,63.92
TEST_002665,vi,4G,Mumbai,20.34,4.73,-78.46,41.98,2026-04-26,29.237789,80.135429,66.63
TEST_002671,airtel,5G,Mumbai,49.37,13.8,-88.74,73.74,2026-03-09,14.134645,93.623753,53.19
TEST_002676,airtel,5G,Mumbai,73.27,30.67,-93.36,47.27,2026-04-04,17.188301,82.247381,77.77
TEST_002682,airtel,5G,Mumbai,55.75,20.19,-97.63,42.01,2026-04-25,12.313286,81.248876,73.7
TEST_002683,airtel,5G,Mumbai,64.3,10.82,-93.41,51.03,2026-03-16,16.624208,81.622559,65.55
TEST_002691,vi,4G,Mumbai,18.63,6.59,-99.83,51.41,2026-03-25,30.107195,93.117572,51.43
